cond,position,pA,pB,pD,vA,vB,vD
X,horesrace,0.4436225302,0.3965856065,0.1162552782,91.5655344,101.2002368537,94.3773651682
X,horesrace,0.8023934159,0.6325955363,0.5238071254,99.230594489,94.0894199709,102.2812967022
X,horesrace,0.5941708502,0.2083488477,0.7675048981,89.0285947118,105.0076992181,105.8368976076
X,horesrace,0.2207560809,0.0561445614,0.3626630071,97.3283097814,98.5756068172,99.736379193
X,horesrace,0.4743085811,0.7185929783,0.5050219197,104.5283384008,97.4462996875,101.0784100238
X,horesrace,0.7203189442,0.88819963,0.4324181264,100.6554312063,98.8022957165,97.1676053044
X,horesrace,0.4844289189,0.9720055568,0.509997454,103.3253719546,106.6144890214,115.8709337256
X,horesrace,0.9691567782,0.9111917792,0.0106210315,101.2774510073,104.3415927533,101.7791984342
X,horesrace,0.8739954184,0.3836602902,0.7567752714,105.925114887,107.6259944832,102.1042468647
X,horesrace,0.0594790974,0.0517129323,0.4312819191,98.3042100142,93.6140358486,100.3021003625
X,horesrace,0.8716765391,0.5252603781,0.7680915245,105.3701921003,107.3943220266,87.3349534083
X,horesrace,0.7938178997,0.3749143824,0.8340018294,98.06948183,99.8185476575,103.936795591
X,horesrace,0.3338911687,0.2557540571,0.7729199275,100.0593645819,96.9660733637,107.029930987
X,horesrace,0.7356849646,0.8091260004,0.8835810993,101.8383568264,96.4998015201,97.8727849528
X,horesrace,0.1553572931,0.3370498496,0.0925321511,105.2218122816,96.7354398557,91.7011184038
X,horesrace,0.9344746978,0.3771849705,0.9711307096,96.973958689,98.2448447744,94.9482415679
X,horesrace,0.6730765663,0.1926877089,0.468470928,96.6671556194,99.4629878478,102.3759726112
X,horesrace,0.798663425,0.3342829791,0.7408345761,102.8832374217,99.5460530165,99.1358421276
X,horesrace,0.6769928443,0.7195969648,0.9499821276,95.9001204211,91.6088018071,102.1208248241
X,horesrace,0.636375231,0.5208678411,0.6082129262,102.5765233155,93.4723998439,108.4955010332
X,horesrace,0.6923481717,0.6197800909,0.7436943755,101.367568024,91.379416216,97.5520173971
X,horesrace,0.5541274867,0.6579603851,0.0602859601,104.3269566781,101.7430329342,93.7077552979
X,horesrace,0.317097221,0.1913518086,0.706633294,100.9721965565,101.9944364367,100.6525741971
X,horesrace,0.7239435066,0.2414207021,0.561169856,102.9299569658,105.8389403192,88.4874012606
X,horesrace,0.2060546358,0.2351090633,0.4611054743,108.1883928402,97.302937525,97.736545325
X,horesrace,0.8929247472,0.4823531271,0.4972252154,95.03206116,103.5761243021,103.0013945703
X,horesrace,0.5218922626,0.242666679,0.2076800098,88.3971358038,95.5660763333,103.1854411754
X,horesrace,0.0669251396,0.9333453178,0.0035649447,99.8821565594,98.7979681319,95.5301997957
X,horesrace,0.3236960028,0.6552050177,0.1214813259,95.6330409473,102.8200690828,104.7010717843
X,horesrace,0.833384193,0.305516412,0.8944277512,100.7497849225,101.5262770123,98.5137272024
X,horesrace,0.8065670389,0.8231773023,0.0134278808,101.7208462144,101.3503572106,94.5203989744
X,horesrace,0.805069176,0.8083550411,0.8158983632,106.6369791796,102.6333566249,102.4152956516
X,horesrace,0.4359243154,0.5981979589,0.7864601365,109.1387394195,104.0913898122,103.6270983245
X,horesrace,0.5745496631,0.2482504868,0.3032345055,99.6301915418,105.5937372192,103.3675948024
X,horesrace,0.8929472945,0.7091715941,0.2257956574,90.93323373,98.5765146207,98.19780932
X,horesrace,0.9843486839,0.7165904017,0.2293394012,98.8359975883,93.2655250889,95.9907205673
X,horesrace,0.0542610898,0.1359236683,0.84516929,100.2401198154,103.8573124888,103.5887516975
X,horesrace,0.2863590342,0.5952460153,0.9805413352,106.625360426,103.7197321594,98.5860645483
X,horesrace,0.6520812942,0.6586502402,0.6909931342,104.4094750386,102.8911529262,100.1442003483
X,horesrace,0.143834708,0.6017329092,0.7539419897,88.792990476,100.1513758076,102.1891944945
X,horesrace,0.6924855805,0.3248602152,0.3520287918,94.2186846285,105.1942450884,105.8124138412
X,horesrace,0.6439607083,0.365570891,0.4322079455,103.8860502563,94.1926843939,100.9737780269
X,horesrace,0.3975504029,0.6922016745,0.4826783689,88.3351468132,95.9707226829,104.1230200185
X,horesrace,0.9446512565,0.0673098078,0.3825236461,100.2801722055,99.6066194957,96.8014309698
X,horesrace,0.6314878254,0.4761473604,0.086531122,97.5350839188,94.2901836498,102.5121004593
X,horesrace,0.3943233083,0.0179629598,0.3449227284,107.9524499184,99.4636387462,103.7023546503
X,horesrace,0.5313412382,0.3664708356,0.9756563713,99.3868217608,104.5643913062,101.8880799311
X,horesrace,0.6702526479,0.0610431333,0.0658999248,101.9262488193,102.1791621968,92.6590651504
X,horesrace,0.7495977241,0.8747973447,0.6172945322,101.3544094214,102.0969847701,95.4950394097
X,horesrace,0.2275283779,0.0851266049,0.216898751,87.0067422537,92.7723330271,100.5236871347
X,horesrace,0.419185794,0.735268177,0.8577475292,95.4058733274,99.2669682987,103.41584464
X,horesrace,0.8300207183,0.592553128,0.7360108171,102.0691604198,102.8057752195,97.5370973086
X,horesrace,0.1765069494,0.7993090025,0.2614876318,98.9574692356,99.0712235882,100.0593424878
X,horesrace,0.9567098774,0.6216828485,0.7412867695,96.9418235993,101.4368113761,101.5965432821
X,horesrace,0.0772288924,0.550620771,0.2261081501,96.7750359264,92.4853066596,97.7919072137
X,horesrace,0.0887140767,0.1303266257,0.2477354829,100.689383258,98.9681160941,90.2158264108
X,horesrace,0.3778048186,0.041090054,0.4542054683,112.246062444,97.0010697111,99.6516216039
X,horesrace,0.2287471516,0.7054990174,0.4385883012,96.5283063108,93.5277698529,95.7556336367
X,horesrace,0.0651543178,0.1554841695,0.169350615,102.2413939498,94.9972992032,102.8371578868
X,horesrace,0.0150667904,0.7773445402,0.0084746468,97.1893652563,103.815162984,102.4375981162
X,horesrace,0.711949727,0.3341744468,0.1489046318,104.8735863737,95.6819907874,97.4759588178
X,horesrace,0.2358483302,0.3876219362,0.7205272464,102.5448560831,94.9780632723,97.725505666
X,horesrace,0.6307707124,0.403367576,0.8859711969,92.7031282626,101.8707299354,100.8309541024
X,horesrace,0.0812067932,0.8462398406,0.3862980027,109.7936205524,100.0810068601,87.8832779179
X,horesrace,0.9318042945,0.7034840889,0.5334878422,100.843789829,99.0053337236,106.2389696448
X,horesrace,0.3325933216,0.5304840656,0.5554707907,98.7938844141,96.0265081039,104.7666356222
X,horesrace,0.8535478571,0.7860186708,0.0082710497,94.5188962505,101.659807739,93.0590832716
X,horesrace,0.1123173216,0.8428497592,0.7142023051,100.3264308718,95.0831646575,92.5033449341
X,horesrace,0.6641112987,0.8463553828,0.7338838235,104.9699228368,92.4152856662,99.9208859181
X,horesrace,0.8848645957,0.4115904262,0.2974111694,98.8230890562,99.6086778493,99.1785547992
X,horesrace,0.1600293661,0.406665924,0.7021719851,101.5365300211,100.594212154,108.2652269937
X,horesrace,0.8634450489,0.8962794992,0.6795304744,88.1635301766,98.9191967628,97.1578641169
X,horesrace,0.1578895191,0.0183045114,0.8570361559,97.7807938083,96.8797934934,104.0448188136
X,horesrace,0.264844239,0.5836791254,0.2114760911,92.0130388999,105.2916424121,98.9124887915
X,horesrace,0.3402265869,0.0508370937,0.5184858991,100.5919907236,108.360718413,99.044700846
X,horesrace,0.5547054911,0.5834875405,0.4045280702,97.8618378181,100.439271033,107.6142885082
X,horesrace,0.776482953,0.4710886984,0.9665583849,93.6648334802,101.3320480869,101.5972360516
X,horesrace,0.6993049141,0.1893903892,0.7091906923,98.2157750955,106.1430081213,97.1989018711
X,horesrace,0.9363652125,0.4007372635,0.1083008626,108.516351233,94.6225165919,102.7747734919
X,horesrace,0.8672872435,0.6693411428,0.2154246499,96.8787133953,96.7848288925,103.225147542
X,horesrace,0.430239446,0.3763693767,0.6448541167,92.0227291851,93.798761945,101.1982252666
X,horesrace,0.0057799411,0.4119623133,0.9812077538,108.3161100472,90.5876630327,99.4901757192
X,horesrace,0.5013562103,0.6662834436,0.4567217228,105.6093195952,93.2856297718,100.5688084186
X,horesrace,0.6408187766,0.8544254459,0.0878182978,105.5456812754,94.3775786275,102.779276106
X,horesrace,0.5529366462,0.8829602124,0.8939892771,104.6233884111,89.7410352236,101.1969908987
X,horesrace,0.8041533402,0.2023751365,0.3815880711,100.1976838612,92.8537948957,103.1106901576
X,horesrace,0.6845200518,0.6266345948,0.9515795482,102.4793013855,98.012034239,106.4336887202
X,horesrace,0.1425203667,0.2210653264,0.4450000252,99.549831619,102.4615363826,104.7710973865
X,horesrace,0.0098175327,0.4876313682,0.3565118809,94.3109296454,99.6554141886,93.2247276399
X,horesrace,0.5361068116,0.5249035379,0.6031506511,94.3798594662,98.147115467,92.2891380401
X,horesrace,0.2456004401,0.9183029139,0.1664361791,101.4713058318,98.736607425,105.568534053
X,horesrace,0.9682032177,0.0582229423,0.493037682,92.6039037254,105.9683971606,96.8417580638
X,horesrace,0.1437476154,0.9372326836,0.3976194104,94.6356241656,93.4354067352,97.0546426252
X,horesrace,0.827143664,0.9605454335,0.4545914053,98.9932037867,104.0597376588,104.3769928225
X,horesrace,0.1533849612,0.2603674685,0.7201864638,92.9102391405,104.1101100134,91.1155436361
X,horesrace,0.4589720406,0.3724876442,0.6691283702,102.8535031513,106.3816578321,90.6295146863
X,horesrace,0.0821233208,0.6178683627,0.666280725,88.014738197,105.4024344879,95.7297845198
X,horesrace,0.4311544646,0.6617672504,0.5371837602,98.778132828,99.1700768743,95.5045996348
X,horesrace,0.3690138904,0.9928200862,0.8237327107,103.5520433092,104.092392352,109.0735263088
X,horesrace,0.2766306004,0.6919637036,0.3830457747,98.7603594411,102.2216630704,98.7947718184
X,horesrace,0.3864684752,0.3656365233,0.3443765119,100.4252582334,96.4959071412,101.9427484128
X,horesrace,0.094693044,0.5310682352,0.2773773649,104.7884296531,100.883070227,108.4452286983
X,horesrace,0.9110649468,0.1410480805,0.6758801485,96.5927770295,99.6866227198,108.2814739428
X,horesrace,0.575815354,0.5905442105,0.447252875,101.9468172725,99.2439976563,102.3990232911
X,horesrace,0.7096179056,0.7076175157,0.2097223601,100.0614885549,104.3021411377,91.331309582
X,horesrace,0.7637672445,0.6795252138,0.9826478676,105.7823987381,100.9069686059,98.5188956727
X,horesrace,0.8444222463,0.7936167426,0.7401317605,102.3406323287,97.0832166101,95.8233419689
X,horesrace,0.098634185,0.8878124401,0.5080729173,104.979970071,87.2915654689,100.4209354563
X,horesrace,0.8684841173,0.0717141649,0.719383501,105.1707947593,101.7167008463,104.5982031674
X,horesrace,0.5090558422,0.5951257937,0.0055083036,100.5414918898,107.7914044817,102.4246209271
X,horesrace,0.3519584015,0.2249967584,0.987209572,104.5083852687,93.9094081125,104.1687424443
X,horesrace,0.3378924269,0.202555784,0.7841650823,102.4915332299,101.6749758346,111.6719817938
X,horesrace,0.8998989952,0.2131070984,0.3231498685,98.2265156221,105.2946826843,105.3206898546
X,horesrace,0.7445415303,0.5053891048,0.1002963397,96.0513956476,94.8661793643,98.500890962
X,horesrace,0.0488763016,0.92758323,0.7547733979,103.4982616716,97.5604332393,101.0261806382
X,horesrace,0.2992449005,0.3663227463,0.6623620356,101.2993968494,103.8046228038,100.0119482669
X,horesrace,0.3873945009,0.6149140662,0.0946177274,104.7868903292,105.5822776769,97.9008147617
X,horesrace,0.0141264901,0.5098320085,0.9987537409,93.832148157,104.8912382411,98.4364221768
X,horesrace,0.0021621247,0.5985952052,0.8711815476,96.9844648446,99.4744913718,90.6142092183
X,horesrace,0.2855290128,0.9994703722,0.7716954504,97.1534937569,100.8311674865,101.5893739306
X,horesrace,0.4058188892,0.8287204467,0.4882060741,103.0459305309,95.1053938067,99.447460472
X,horesrace,0.5591498825,0.6798905458,0.1280324678,101.3197979788,93.8323107161,103.6859957129
X,horesrace,0.3266639905,0.1567593517,0.6679733072,104.726756618,95.3081762719,97.7697635699
X,horesrace,0.0323148908,0.2724094277,0.2009820796,92.6645075547,98.7907861635,107.3057438188
X,horesrace,0.9412272312,0.345769224,0.3735020724,103.970706485,98.2626839717,100.8054661259
X,horesrace,0.1548853684,0.9540807682,0.3102389714,101.2711780385,101.3386374908,104.81101811
X,horesrace,0.5880794565,0.8148599858,0.1979865436,97.2432072338,90.6084301404,107.5257365442
X,horesrace,0.944009302,0.6620073251,0.0087541579,104.4455912573,103.8171442028,101.6067948581
X,horesrace,0.1275738529,0.8706019747,0.6206505354,97.968206787,98.4368138446,105.0836638155
X,horesrace,0.3318788989,0.9130052873,0.7141438252,99.6586194367,98.8231510842,95.3742334113
X,horesrace,0.0164626401,0.8849696922,0.4645792737,104.5728147171,98.1168578395,98.1122895307
X,horesrace,0.5491302516,0.3289194545,0.6522714493,95.9709937971,101.9540330286,90.456910389
X,horesrace,0.2449336399,0.6646577499,0.9587168649,101.595539368,97.2078419339,97.9653229507
X,horesrace,0.4604263278,0.831959289,0.4552446636,101.8014291241,96.4805041649,97.6111165705
X,horesrace,0.7474069744,0.3836300108,0.0578981745,100.23760863,102.4405563255,98.8014096085
X,horesrace,0.4866414224,0.9276481576,0.019783874,99.4929330176,105.3004436637,97.4838043354
X,horesrace,0.6338375208,0.7198916031,0.5454698312,102.5251316331,90.3804360019,97.8561742036
X,horesrace,0.1553541289,0.1395999929,0.3681705322,99.003852446,99.2721896417,92.9814830535
X,horesrace,0.0467901316,0.599730426,0.7683456086,109.056441524,99.4403197999,106.3110067398
X,horesrace,0.1923806902,0.7700548365,0.087588771,102.3411590371,99.3216323016,101.1212332253
X,horesrace,0.3088035407,0.6530653504,0.4406871493,95.911566311,93.789861127,93.9067695932
X,horesrace,0.8943099999,0.8835762911,0.3324941949,99.7631305134,107.2054868556,97.8491210935
X,horesrace,0.5927827901,0.4209253823,0.6281019514,101.6666073635,95.8677134295,106.8274365707
X,horesrace,0.4790498186,0.5151707779,0.0327738146,92.2257474933,101.6374800122,88.0931928157
X,horesrace,0.7505578701,0.3154213191,0.7322438317,91.902752628,92.4622645905,105.4992933189
X,horesrace,0.9821412906,0.3556378898,0.5299031306,107.3453484323,96.7440770198,98.2938364977
X,horesrace,0.5993316525,0.967609802,0.9267566872,112.1168412095,105.5461864354,101.2962002942
X,horesrace,0.7684181749,0.448444796,0.6765092467,105.9732240863,93.410757843,99.001681454
X,horesrace,0.6872688052,0.6640714214,0.4036906108,97.2440845613,97.7175340971,94.4144273736
X,horesrace,0.6209402359,0.3993030752,0.5259297118,96.5410238434,92.4731748536,95.0407479162
X,horesrace,0.1267400864,0.7993859921,0.0080069716,108.6323240477,95.8463489182,96.5167532537
X,horesrace,0.2001463661,0.7007966463,0.6922356819,108.1215709624,106.8373554806,104.8655082504
X,horesrace,0.7807244018,0.3268023208,0.1909752989,108.5622112737,102.292981458,97.2744323539
X,horesrace,0.2429405912,0.4715099665,0.9183533876,100.9144261628,97.1051554051,92.9161625838
X,horesrace,0.8328099661,0.5135324709,0.4648890514,98.78276124,95.1714999862,104.075235337
X,horesrace,0.4568619388,0.4854792943,0.2285345264,99.641601842,104.4677338063,108.3918864376
X,horesrace,0.565731796,0.8864188488,0.8032183438,107.1428407878,98.2929714654,96.1721431657
X,horesrace,0.3343353148,0.9886977074,0.0919821416,95.0869650605,99.4445460114,98.4743688342
X,horesrace,0.9157672594,0.9193164788,0.3429854044,105.3986298086,102.378377766,104.8130902788
X,horesrace,0.2456103764,0.4895508026,0.8515766112,101.0336654719,108.8305408898,106.7624776547
X,horesrace,0.1452240897,0.6212084887,0.557276495,99.9456240782,100.3244607301,107.8049190905
X,horesrace,0.757773729,0.371184614,0.5275406244,102.1220890059,106.3577455315,100.2777481676
X,horesrace,0.7660133431,0.0660783143,0.3013746201,102.7781031846,97.0237375916,90.7027127571
X,horesrace,0.3456797118,0.7516873656,0.5249657915,95.8176328068,103.779093179,101.8229295537
X,horesrace,0.9905325065,0.307577217,0.8163046245,100.4518320913,103.7283914157,103.8760007022
X,horesrace,0.5293081598,0.6347142146,0.7514647602,103.4181976561,100.7361252591,105.0205514967
X,horesrace,0.2922792537,0.2348702725,0.9061090495,99.500350376,95.6361217552,89.8460982312
X,horesrace,0.0356587195,0.3964150022,0.0162872951,96.1783493785,92.0687249663,100.7025032909
X,horesrace,0.569946338,0.3133887323,0.8304166861,96.8996931777,99.335850259,107.5188008745
X,horesrace,0.9118913875,0.7729563746,0.4575117917,103.9856997828,109.73482937,102.2950452315
X,horesrace,0.5631389243,0.9977358514,0.0366979269,90.4709655804,96.3692736284,98.5934399646
X,horesrace,0.4154176158,0.8976635435,0.9095712418,92.417454163,103.9573063304,96.6291854521
X,horesrace,0.9591597265,0.0094815653,0.9200519018,104.2448750538,108.2498652137,98.8935014268
X,horesrace,0.9645158586,0.7233967884,0.4248291822,96.9280850416,98.2600466716,101.7381705483
X,horesrace,0.679832337,0.8497649548,0.0311435005,97.8256714801,100.6822512258,96.3615884826
X,horesrace,0.5498829491,0.1142995802,0.0126073796,100.8971746725,103.9400909737,95.7001831198
X,horesrace,0.9445492604,0.7479019442,0.6504542818,95.2020307013,101.0544874063,98.6145531168
X,horesrace,0.9322630242,0.6600979099,0.8909287101,102.9725057295,105.6405947312,103.1751507341
X,horesrace,0.0258135407,0.8780179697,0.1126864224,98.2877197444,103.7196292236,95.3013798632
X,horesrace,0.172715754,0.3884459115,0.1139606505,96.5865367241,98.666462267,100.3107425032
X,horesrace,0.4936751272,0.8425138609,0.1630453991,98.091957236,102.6709544622,98.6024531595
X,horesrace,0.1806421091,0.2926676099,0.5341349961,102.4203428371,106.6212116662,101.8557176484
X,horesrace,0.8827636107,0.2078584551,0.3929175641,101.854941147,107.7321747016,93.6743555123
X,horesrace,0.8590231035,0.3814412069,0.6934387442,97.9952357585,99.3975404073,100.5587485195
X,horesrace,0.2566514283,0.5447429379,0.5145167315,105.458931753,97.179947808,96.2971201329
X,horesrace,0.7705630672,0.5741507611,0.5533981258,95.2892964776,98.2526393914,107.7842971432
X,horesrace,0.5695809247,0.2714693332,0.6020799277,99.9533148045,97.8291826476,104.279566782
X,horesrace,0.9206551411,0.9510497842,0.8126485464,105.2165423404,99.8554139915,98.9805347166
X,horesrace,0.114821817,0.0816170899,0.1680117629,102.025773471,96.9453550389,95.5178297205
X,horesrace,0.1323947073,0.2005068127,0.9724700246,95.3562244286,104.5845083099,109.9478480896
X,horesrace,0.5058798052,0.1659979038,0.4323662759,109.2620487285,102.5795226796,99.2946941943
X,horesrace,0.3428837946,0.4109623795,0.2410079651,106.5084577435,103.0619397426,99.2524605523
X,horesrace,0.7891217279,0.9007327284,0.2927176121,97.4217280465,97.4728860272,103.7610623028
X,horesrace,0.2209497872,0.8696049911,0.8699530885,100.0176962995,98.3219354561,101.6304749374
X,horesrace,0.6722428533,0.395161625,0.1980031787,95.3129788349,99.2756132929,92.909211239
X,horesrace,0.1777371177,0.8337228133,0.5646358437,103.9928197414,97.7102783669,96.867822147
X,horesrace,0.0573900354,0.8775430666,0.9498331361,97.928149935,104.639489351,97.3891822499
X,horesrace,0.2381795021,0.9303027091,0.2309385713,101.0220446316,96.5706024186,98.1198490669
X,horesrace,0.5893964763,0.0087647261,0.4031798318,102.7495415957,109.297340095,105.072315185
X,horesrace,0.4081351964,0.7633932116,0.8609215398,95.9268881567,91.5061599887,100.4331306016
X,horesrace,0.3463900031,0.932685124,0.3540479301,107.4258479081,91.9029656843,105.5862367097
X,horesrace,0.9887629112,0.9506639831,0.4009194882,97.0661369528,100.7384193628,101.3835980945
X,horesrace,0.8432909395,0.6530406449,0.546318277,103.818214704,99.441844311,98.9357264279
X,horesrace,0.6350118942,0.4844050342,0.1034762359,105.8591284759,103.1322720506,102.0905891878
X,horesrace,0.3130042574,0.7061344052,0.6594327053,100.4579447417,98.5527014767,107.88476484
X,horesrace,0.1576474367,0.1429299829,0.1323082584,106.0316625446,109.3407508007,103.1602942554
X,horesrace,0.9534000799,0.0552403508,0.0572723073,102.7822411542,106.6583184533,105.773545954
X,horesrace,0.9992467419,0.8551660387,0.0487371692,107.6652380737,98.7522950186,95.9001038179
X,horesrace,0.9442393607,0.6488918057,0.6034412673,97.7967193694,98.1765830342,99.5811081918
X,horesrace,0.1259971727,0.5511918927,0.5178478421,100.1519778634,102.0339619906,95.8102473967
X,horesrace,0.5416478838,0.8048231867,0.021747825,100.7022469846,91.2226978624,97.0867595479
X,horesrace,0.4380597619,0.2420463169,0.0764389297,95.1621782813,105.4751693771,91.7557166235
X,horesrace,0.2719729743,0.6607885254,0.6138467307,105.0699718915,105.4903982121,100.1417410347
X,horesrace,0.4695677222,0.0546646081,0.796511878,107.2859924584,98.2460283138,99.5816605493
X,horesrace,0.3480190011,0.2445619102,0.3842124112,112.3023396827,104.7354876962,106.5514879417
X,horesrace,0.5913604277,0.5108045645,0.8241420712,98.2328155489,100.3908323656,104.0604640856
X,horesrace,0.2138906459,0.5290819693,0.1604979918,100.8306462824,96.6666743989,111.8465759998
X,horesrace,0.2524913666,0.0462103563,0.5780315308,106.0012458098,95.7356249269,97.7275554036
X,horesrace,0.6500283726,0.270394545,0.6609740907,103.9009108444,103.0079223519,97.6572677737
X,horesrace,0.0944932725,0.359805837,0.5064670905,104.1626252769,103.8667718454,91.3326028623
X,horesrace,0.6436674939,0.3577748758,0.7990838988,108.0826174993,100.5373732738,92.3218059971
X,horesrace,0.7064115617,0.2618597089,0.662967812,95.9378721942,100.2946151134,102.7540735786
X,horesrace,0.5008283649,0.3976128034,0.5455721349,99.5976890577,102.9153107943,100.1746623416
