"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.12,0.41,0.47,12,29,16,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,-4.23713059045623,-17.6193450799837,30.0441537345694,"<","<","<","<","<",">"
0.16,0.78,0.91,14,24,16,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,2.68356218781731,19.3778748902199,14.3762030648485,"<","<","<","<","<",">"
0.16,0.78,0.91,14,24,16,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,-19.5552306050072,24.8628360458442,-0.612008585436357,"<","<","<","<","<",">"
0.71,0.41,0.43,10,25,20,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,7.6012242203992,11.0638408953993,8.4670841839237,">",">","<","<","<",">"
0.71,0.41,0.43,10,25,20,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,11.2279216948109,19.8857037158633,-6.52841758211663,">",">","<","<","<","<"
0.17,0.4,0.91,19,23,14,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,3,4.7981847243721,9.626620458451,12.8944156647163,"<","<","<","<",">",">"
0.17,0.4,0.91,19,23,14,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,-23.1852503186857,29.5116073051256,38.4154298338802,"<","<","<","<",">",">"
0.19,0.88,0.96,10,19,14,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,1.90698378943679,15.3118726630902,14.0102145214008,"=","<","<","<","<",">"
0.19,0.88,0.96,10,19,14,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,30.8712368101422,-0.0335821647326213,11.2344231806057,"<","<","<","<","<",">"
0.68,0.57,0.68,14,25,19,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,9.47566507280282,15.6627497689052,11.7332116918335,">","=","<","<","<",">"
0.68,0.57,0.68,14,25,19,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,7.12161813829778,44.3946753498945,-12.0571517627048,"<","=","<","<","<",">"
0.52,0.6,0.71,24,20,15,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,11.2880240696762,12.3010628290356,10.8548451812233,"<","<","<",">",">",">"
0.52,0.6,0.71,24,20,15,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,15.1574459367313,17.8086276942235,26.3506417022918,"<","<","<",">",">",">"
0.72,0.77,0.79,25,19,19,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,18.3319954789823,16.0368654370102,14.4127572694646,"<","<","<",">",">","="
0.72,0.77,0.79,25,19,19,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,1,21.3467837330395,10.2865952167943,16.2752384871758,"<",">","<",">",">","<"
0.76,0.76,0.97,30,12,20,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,23.5010655228765,8.60600393376209,19.3835260421674,"=","<","<",">",">","<"
0.76,0.76,0.97,30,12,20,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,26.493702630382,33.0722953349333,43.0567982178052,"=","<","<",">",">","<"
0.85,0.26,0.6,24,26,29,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,20.367299845016,5.7525539100307,17.006065758888,">",">","<","<","<","<"
0.85,0.26,0.6,24,26,29,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,10.9158464147258,38.7601951406319,6.62126880083181,">",">","<","<","<","<"
0.78,0.8,0.83,26,23,12,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,19.2840421262063,18.8786475264048,11.6676975056166,"<","<","<",">",">",">"
0.78,0.8,0.83,26,23,12,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,16.5459242403044,-9.2632823646356,-28.3762965851924,"<","<","<",">",">",">"
0.59,0.9,0.45,12,10,23,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,6.6351704994025,10.7198215065645,10.422261734172,"<",">",">",">","<","<"
0.59,0.9,0.45,12,10,23,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,-12.6603231629974,23.0980026810417,2.40803257007105,"<",">",">",">","<","<"
0.99,0.71,0.94,13,25,13,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,11.5622831485751,18.6398062741615,12.9891981308051,">",">","<","<","=",">"
0.99,0.71,0.94,13,25,13,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,-15.5778558932298,10.7637511922167,35.949319750439,">",">","<","<","<",">"
0.34,0.56,0.65,14,27,16,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,5.51795519113533,15.4219343589531,10.0783161983273,"<","<","<","<","<",">"
0.34,0.56,0.65,14,27,16,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,30.0504839570544,-2.3384589399481,23.1806615402391,"<","<","<","<","<",">"
0.65,0.73,0.76,25,11,18,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,15.4051561229332,6.74781904466141,11.7461060273297,"<","<","<",">",">","<"
0.65,0.73,0.76,25,11,18,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,5.25637574135839,16.2243156666428,76.8976838892524,"<","<","<",">",">","="
0.43,0.5,0.74,28,20,12,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,12.4674693318394,9.53138490588064,9.09095112433229,"<",">","<",">",">","<"
0.43,0.5,0.74,28,20,12,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,22.2331279189755,-7.87965087758333,26.7754828226244,"<","=","<",">",">",">"
0.71,0.74,0.86,26,20,13,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,19.7636377896654,13.8847244122871,11.2469968235845,"<","<","=",">",">",">"
0.71,0.74,0.86,26,20,13,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,23.2973117493264,43.3374826796133,32.7941263212921,"<","<","<",">",">","<"
0.49,0.45,0.48,10,25,16,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,4.53192219395769,11.1323173259476,9.33935585304076,">",">","<","<",">",">"
0.49,0.45,0.48,10,25,16,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,1,0.766096563335874,-6.09166859127137,-17.2275356632591,">",">","<","<","<",">"
0.77,0.84,0.75,16,14,19,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,3,13.5594956709542,9.31403178008151,16.7965997912419,"<",">",">",">","<","<"
0.77,0.84,0.75,16,14,19,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,-14.4973554386389,19.9463801115607,10.5781194076269,"<","=",">",">","<","<"
0.46,0.51,0.52,28,16,14,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,13.5265767202135,9.13892955862883,7.2870973595719,"<","<","<",">",">",">"
0.46,0.51,0.52,28,16,14,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,17.607138025147,-15.6673052042251,36.3486308979658,"<","<","<",">",">",">"
0.82,0.61,0.79,11,29,23,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,8.12316725349569,18.6730779998591,16.8598923983958,">",">","<",">","<",">"
0.82,0.61,0.79,11,29,23,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,23.9889289296205,44.5408904561057,27.8745760952795,">",">","<","<","<",">"
0.38,0.4,0.64,30,21,10,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,10.895542783369,8.08641434100703,5.21475258476327,"<","<","<",">",">",">"
0.38,0.4,0.64,30,21,10,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,-19.8881819933961,-3.05617921249425,9.97252979295106,"<","<","<",">",">",">"
0.86,0.61,0.7,14,25,21,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,12.043263314129,16.1470026392987,15.3205850691465,">","<","<","=","<",">"
0.86,0.61,0.7,14,25,21,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,1,-9.53099377112468,21.1723743495308,12.0301519821329,">",">","<",">","<",">"
0.23,0.25,0.26,27,27,12,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,7.06661802147148,5.7356883851392,2.79567724893666,"<","<","<","=",">",">"
0.23,0.25,0.26,27,27,12,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,20.9012237430098,-6.22291651385924,5.53931450646367,"<","<","<",">",">",">"
0.73,0.89,0.91,10,26,23,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,7.96243634468143,23.6985543700597,21.3365866677958,"<","<","=","<","<",">"
0.73,0.89,0.91,10,26,23,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,-3.8759736479203,6.22066595664369,49.5916997271932,"<","<","<","<","<",">"
0.33,0.63,0.72,12,21,13,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,5.36951935106565,16.0674972295541,10.9726709909983,"<","<","<","<","=",">"
0.33,0.63,0.72,12,21,13,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,21.872771620093,19.24727165157,27.7861002799238,"<","<","<","<","=",">"
0.032,0.61,0.73,28,22,13,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,0.792851802519318,12.32308295354,10.367191241927,"<","<","<",">",">",">"
0.032,0.61,0.73,28,22,13,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,-15.8916469836648,22.6977900769489,-2.89649041897323,"<","<","<",">",">",">"
0.71,0.8,0.053,27,18,12,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,20.9395038591601,15.2402809351316,1.11916336497637,"<","=",">",">",">",">"
0.71,0.8,0.053,27,18,12,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,1,5.84061955144734,38.3931964950759,-6.78490457717923,"<",">",">",">",">","<"
0.49,0.52,0.053,27,21,15,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,12.2700676387726,11.3031440994551,0.353064402948763,"<",">",">",">",">",">"
0.49,0.52,0.053,27,21,15,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,29.2502462648138,6.07902673048635,5.45880666832311,"<","<","<",">",">",">"
0.34,0.43,0.55,13,27,15,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,3.77846233245375,12.1767373460116,8.65271329145407,"<","<","<","<","<",">"
0.34,0.43,0.55,13,27,15,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,-15.3476420781104,2.26943399966636,16.7927538587598,"<","<","<","<","<",">"
0.94,0.98,0.87,20,19,25,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,3,17.864402604476,18.0299911922612,20.6399378715612,"<",">",">","=","<","="
0.94,0.98,0.87,20,19,25,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,21.0783853987278,19.4834714460145,22.4231918896038,"<",">",">","=","<",">"
0.54,0.57,0.6,29,25,11,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,14.565956266439,13.3201064177421,5.35169032836156,"<","<",">",">",">",">"
0.54,0.57,0.6,29,25,11,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,31.280590887799,-5.99723575566759,26.5298528406801,"<","<","<",">",">",">"
0.49,0.74,0.89,29,15,11,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,13.9531688619563,8.05781728905196,10.5174659857472,"<","<","<",">",">",">"
0.49,0.74,0.89,29,15,11,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,-15.0395738371807,-4.43574648533069,21.9339295331779,"<","<","<",">",">",">"
0.94,0.8,0.89,18,29,22,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,17.5854316925107,23.8168959747142,19.0769819928756,">",">","<","<","<",">"
0.94,0.8,0.89,18,29,22,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,38.1254536212509,4.49873806336075,50.90795043192,">",">","<","<","<",">"
0.58,0.72,0.56,10,17,29,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,3,4.68855959541424,10.9900468752535,14.3687709025984,"<",">",">","<","=","<"
0.58,0.72,0.56,10,17,29,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,-4.98414225241582,26.622577936013,2.40408466375132,"<","<",">","<","<","<"
0.62,0.89,0.92,29,17,15,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,16.1320060866062,14.6809397209627,14.1882172282193,"<","<","<",">",">",">"
0.62,0.89,0.92,29,17,15,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,-27.6497493929638,37.3954164257005,55.1399886310325,"<","<","<",">",">",">"
0.62,0.64,0.87,13,30,19,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,7.80635535888916,18.1914474559617,16.7226367940849,"<","<","<","<","<",">"
0.62,0.64,0.87,13,30,19,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,1.73895502317619,31.3622961010688,-5.61859825369843,"<","<","<","<","<",">"
0.35,0.45,0.55,24,12,10,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,9.15184536735546,5.05999416191089,4.91535164036435,"<","<","<",">",">",">"
0.35,0.45,0.55,24,12,10,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,1,5.22817214222476,17.9509112576148,57.1446702800116,">","<","<",">",">",">"
0.52,0.56,0.57,29,12,18,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,16.2734917489013,6.6928223043691,11.4185525416224,"<","<","=",">",">","<"
0.52,0.56,0.57,29,12,18,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,-33.5126567734151,-19.680221182052,19.9749744529456,"<","<","=",">",">","<"
0.78,0.82,0.99,28,24,14,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,20.1674109657481,17.7073513538226,13.2126558616011,"<","<","<",">",">",">"
0.78,0.82,0.99,28,24,14,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,12.5929051361549,41.2293791619287,42.7031497484213,"<","<","<",">",">",">"
0.35,0.36,0.42,10,27,17,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,2,2.17863354541983,9.33510028721434,8.19844590359581,"<","=","<","<","<",">"
0.35,0.36,0.42,10,27,17,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,-13.1433044911182,-9.42269071201578,14.7545527682549,"<","<","<","<","<",">"
0.5,0.79,0.91,28,12,12,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,15.6779764428982,7.9707048035773,12.4588925348777,"<","<","<",">",">","="
0.5,0.79,0.91,28,12,12,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,22.3011295031533,8.4142751617345,27.2635282262709,"<","<","<",">",">","="
0.13,0.27,0.68,18,20,10,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,3,3.39755310360138,5.96366054708438,7.19853970990472,"<","<","<","<",">",">"
0.13,0.27,0.68,18,20,10,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,2,-35.0898053419512,-10.3631682467326,35.9717724352172,"<","<","<","<",">",">"
0.65,0.67,0.71,23,20,18,0,1,0.01,1.1,0.1,TRUE,TRUE,20,8,1,15.6106590240293,10.8638040375735,12.8253917477717,"<","<",">",">",">",">"
0.65,0.67,0.71,23,20,18,1,20,0.01,1.1,0.1,TRUE,TRUE,20,8,3,7.15657682483427,12.6124580710278,45.3273327945122,"=","<","<",">",">",">"
